Unique Identifier,Description,Start Date,End Date,Reasonable Worst Case,Estimated Expected Loss,Probability,Crystallised to Date,Premium Agreed,Premiums to Date,Category,Type of Beneficiary,Sector of Beneficiary,Sector of Risk,Cross Sector Trigger,Reported As,Reporting Category,Notes,Status,Department,FYE,Group, el_lower , el_mid , el_upper ,prob_lower,prob_mid,prob_upper,Beneficiary,el_minus_sens,el_plus_sens, el_lower-1 , el_mid-1 , el_upper-1 , el_lower+1 , el_mid+1 , el_upper+1 ,Duration(Years),Future Duration(Years), Cashflow_lower , Cashflow_mid , Cashflow_upper , PAME 
11,Other Legal Claims brought against the department,2022-04-01,2023-12-31,"£1,300,000.00",< £1m,> 50%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Section M,Section M,No Exposure to Listed Risks,Quantifiable,Non-remote Core,"Large volume of individually low value claims, high probability that at least something will be paid out for one of these current claims therefore probability of over 50%",Ongoing,P,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",1.75,0.75, £-   ," £667,000.00 "," £1,333,000.00 "," £975,000.00 "
12,EMTC Contract - Redundancy Liability - potentially arising from redundancy of former civil servants who transferred under the Electo-Mechanical Training Contract to the Defence College of Technical Training,2021-04-06,2026-10-30,"£5,000,000.00",£1m to £5m,10% to 25%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,Subject to further discussion with the Defence College of Technical Training - it is not clear that redundancy will arise but a notional value has been included for completeness.,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.1,0.175,0.25,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5.57,3.58," £279,000.00 "," £838,000.00 "," £1,397,000.00 "," £875,000.00 "
13,USVF Re-Basing - Redundancy Liability. Potential redundancy of staff at sites no longer required as part of the US European Infrastructure Consolidation (EIC) programme.,2018-07-06,2024-12-31,"£4,000,000.00",£1m to £5m,10% to 25%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Non-remote Core,Further information is being discussed with the US Department of Defence on timing and scope of site rationalisation. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.1,0.175,0.25,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",6.49,1.75," £571,000.00 "," £1,714,000.00 "," £2,857,000.00 "," £700,000.00 "
14,Limit of Contractor Liability to Serco Ltd for damage associated with SSPAR Maintenance programme. ,2018-07-01,2024-03-01,"£490,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The CL relates to damage to the solid state phased array radar. The disclosed value relates to asset value. No incidents of damage have arisen so the expected loss and probability are considered to be extremely low especially given the imminent expiry of the CL.  ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5.67,0.92, £-   ," £543,000.00 "," £1,087,000.00 "," £2,450,000.00 "
15,Legal Claims - Repudiation of Legal Claims,2018-03-20,2028-03-31,"£2,000,000.00",£1m to £5m,10% to 25%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Non-remote Core,Relates to a number of legal claims associated with procurement contracts. Reasonable worst case based on legal assessments,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.1,0.175,0.25,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",10.03,5," £200,000.00 "," £600,000.00 "," £1,000,000.00 "," £350,000.00 "
16,Limit of Liability to Babcock for damage under the HADES contract.,2017-10-01,2024-03-01,"£150,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,"The CL to potential damage to MOD assets by the Contractor during provision of aircraft maintenance, airfield support, flight line support services, vehicle fleet logistics, training support and specialist armoury and engineering support. No such incidents have occurred to date and the probability and expected loss are therefore considered extremely low. The contract is also due to expire in less than 12 months",Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",6.41,0.92, £-   ," £543,000.00 "," £1,087,000.00 "," £750,000.00 "
17,MSASS - Redundancy Liability of MSASS Employees (Non-Crown Servants),2020-03-30,2024-03-31,"£2,000,000.00",< £1m,10% to 25%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Increased Legal Liability Costs,Quantifiable,Remote Core,The indemnity is for Medium Speed Aerial Support Services Contract - no claims or crystallisation has happened to date and contract due to expire within the next 12 months.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.1,0.175,0.25,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4,1, £-   ," £500,000.00 "," £1,000,000.00 "," £350,000.00 "
18,Consequential & Indirect Loss relating to claims in excess of £20M arising from follow-on contract from Brize Norton Multi Activity Contract relating to damage to MOD assets.,2021-04-30,2026-11-30,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,No claims raised against this or the preceding contract so risk now viewed as extremely remote. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.59,3.67, £-   ," £136,000.00 "," £272,000.00 "," £2,500.00 "
19,"Defence Fire & Rescue (DFR) CL (previous ref: Army_012)

Repayment of contractor's working capital loan if contract terminated early.",2018-07-01,2028-09-30,"£37,000,000.00",< £1m,1% to 5%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The indemnity is to Capita who secured the DFRS contract in 2018 - no claims made to date and none expected so considered a remote risk,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.01,0.025,0.05,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",10.25,5.5, £-   ," £91,000.00 "," £182,000.00 "," £925,000.00 "
20,Legal Case - Liability to cover repudiation of legal claims by external claims management companies in respect to service personnel.,2016-03-01,,"£22,000,000.00",£5m to £10m,10% to 25%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Non-remote Core,Dependent on volume and value of legal claims received. Probability and value based on legal assessment.,Ongoing,O,2023,Core," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",0.1,0.175,0.25,Private,£1m to £5m,£5m to £10m," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",83.84,76.75," £65,000.00 "," £98,000.00 "," £130,000.00 "," £3,850,000.00 "
21,Legal Case - A legal challenge to decisions taken in 2015 to lower salaries for individuals employed as locally employed by civilians as part of a wider changes introduced by the Cypriot governement on public sector pay. ,2019-04-01,,"£400,000.00",< £1m,25% to 50%,1000000,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Non-remote Core,Dependent on outcome of Cypriot Supreme Court consideration. Maximum residual liability valued at £400K following earlier crystallisation of £1M.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.25,0.375,0.5,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",80.75,76.75, £-   ," £7,000.00 "," £13,000.00 "," £150,000.00 "
22,Indemnity relating to the Sale of Dockyard Agreement 1996.  Indemnity to Babcock Group for ship repair insurance for claims in excess of the amount covered by the contractors' own insurance (clause 6 of the Devonport Enabling Agreement). ,1997-01-01,,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Increased Legal Liability Costs,Unquantifiable,Remote Core,There have been no incidents in the 26 years since inception of the indemnity and Contractor has significant experience in managing refits and upkeep periods. Exposure and probability therefore considered extremely low.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",103,76.75, £-   ," £7,000.00 "," £13,000.00 "," £2,500.00 "
23,"Indemnity to DRDL to meet the extra cost of unavoidable redundancies at Devonport dockyards above a specified maximum.  
Increase in costs reflects severance liability agreed through Terms of Business Agreement (TOBA) in 2009.",2009-01-01,,"£1,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The likelihood of redundancy costs exceeding £1M considered extremely remote given existing refit and repair workload plans. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",91,76.75, £-   ," £7,000.00 "," £13,000.00 "," £5,000.00 "
24,Indemnity to RRDL to meet the extra cost of unavoidable redundancies at Rosyth dockyards above a specified maximum.  ,2009-01-01,,"£1,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The placement of the Type 31 Shipbuild contract with Babcock Rosyth in 2019 reduces the risk of occurrence still further so now considered extremely remote in value and occurrence.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",91,76.75, £-   ," £7,000.00 "," £13,000.00 "," £5,000.00 "
25,Potential DE&S liability associated with legal claims being processed by the central team ,2018-03-01,,"£120,000.00",< £1m,25% to 50%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Non-remote Core,The CL relates to DE&S share of legal claims being processed by the central team and value reflects latest legal assessment of exposure. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.25,0.375,0.5,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",81.84,76.75, £-   ," £7,000.00 "," £13,000.00 "," £45,000.00 "
26,Limit of Liability to Leonardo for Merlin Life Sustainment Programme contract - limiting Contractor liability for Contractors personnel on Government Establishments to £50M.,2015-07-01,2023-12-01,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The CL relates to potential damage to MOD assets caused by Contractor staff operating on MOD premises.  The value is based on helicopter platform and asset value.  There have been no such incidents to date and therefore the probability and expected loss are considered extremely low. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",8.42,0.67, £-   ," £746,000.00 "," £1,493,000.00 "," £2,500.00 "
27,Liability to reimburse MBDA if the company has to pay the Iranian Government for the use of design rights in the supply of Tracked Rapier to MoD.  CL remains valid pending outcome of ICC arbitration process. ,2009-04-24,2023-10-18,"£5,000,000.00",£1m to £5m,25% to 50%,0,No,0,Indemnity - Procurement Indemnity,Overseas Government or Organisation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Non-remote Core,The CL relates to a claim from Iran for recovery of costs associated with supply of tracked Rapier assets not delivered. Current subject to further legal proceedings.,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.25,0.375,0.5,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",14.48,0.55," £1,818,000.00 "," £5,455,000.00 "," £9,091,000.00 "," £1,875,000.00 "
28,Potential liability for UK MOD to reimburse BAES for site and workforce rationalisation costs at the end of UK production programme. Dependent on success of Typhoon export opportunities.,2011-09-01,2030-01-01,"£212,255,000.00",£5m to £10m,1% to 5%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Non-remote Core,This CL relates to the indemnity of BAES for costs incurred from rationalisation from closure of Typhoon production facilities. The company continues to win export orders so the current assessment of probability is low c. 3%.,Ongoing,O,2023,Core," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",0.01,0.025,0.05,Private,£1m to £5m,£5m to £10m," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",18.34,6.75," £741,000.00 "," £1,111,000.00 "," £1,481,000.00 "," £5,306,375.00 "
29,"Type 26 Global Combat Ship Manufacture Phase 1  Contract with BAES includes a clause which limits BAES liability for Direct Losses to £50M arising under or in connection with this Contract or in the performance of the activities in respect of any sickness disease, death or personal injury of any person and any loss or damage to any third party property, real or personal, arising from the act, error, omission or default of the Contractor or any Contractor€™s Personnel. The clause also exposes MOD to any €˜indirect Consequential Losses. Legal advice was received (Linklaters LLP) that it is relatively standard in contracts of this nature for parties to exclude their liability for consequential losses.",2017-06-08,2035-01-01,"£50,000,000.00",£1m to £5m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Widespread Damage to Property,Unquantifiable,Remote Core,Reasonable worst case estimate reflects that incidents during Type 26 platform are extremely unlikely but could impact properties adjacent to the shipyards in Govan and Scotstoun.  The likelihood of crsytallisation above a £50M value are still considered extremely remote. ,Ongoing,O,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",17.57,11.75," £85,000.00 "," £255,000.00 "," £426,000.00 "," £250,000.00 "
30,Indemnity to Boeing for Standard Risk Indemnity on Aviation Products DEFCON 684 relating to Chinook contracts with Boeing.,2015-04-01,2030-03-31,"£55,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Increased Legal Liability Costs,Unquantifiable,Remote Core,The reasonable worst case estimate reflects the complete loss of 1 x Chinook Mk6.  This is considered a very remote outcome as no claims have been made in the 25 years the platform has been in service.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",15,7, £-   ," £71,000.00 "," £143,000.00 "," £275,000.00 "
31,Indemnity to Leonardo for Special Risk - DEFCON 684 (Limitation Upon Claims in Respect of Aviation Products) on the Merlin Crowsnest Programme ,2016-10-14,2026-12-31,"£42,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation reflects estimated costs based on the loss of 1 x Merlin Mk2 and 3 aircrew. There has been no crystallisation of this indemnity and the contract expires within the next 18 months so exposure considered extremely low.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",10.21,3.75, £-   ," £133,000.00 "," £267,000.00 "," £210,000.00 "
32,Indemnity to Leonardo for Special Risk - DEFCON 638 (Limitation Upon Claims in Respect of Aviation Flight and Taxiing) on the Merlin Crowsnest Programme ,2016-10-14,2026-12-31,"£42,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,Major Economic or Financial Downturn,Unquantifiable,Remote Core,The reasonable worst case valuation reflects estimated costs based on the loss of 1 x Merlin Mk2 and 3 aircrew. There has been no crystallisation of this indemnity and the contract expires within the next 18 months so exposure considered extremely low.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",10.21,3.75, £-   ," £133,000.00 "," £267,000.00 "," £210,000.00 "
33,Indemnity to Leonardo for Special Risk Indemnity - DEFCON 638 (Flights Liability and Indemnity) relating to the Merlin Integrated Operational Support contract.,2015-07-29,2024-12-31,"£42,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation reflects estimated costs based on the loss of 1 x Merlin Mk2 and 3 aircrew. There has been no crystallisation of this indemnity and the contract expires within the next 18 months so exposure considered extremely low.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",9.43,1.75, £-   ," £286,000.00 "," £571,000.00 "," £210,000.00 "
34,Indemnity to Leonardo for Special Risk - DEFCON 684 (Limitation Upon Claims in Respect of Aviation Products) on the Merlin Life Sustainment Programme ,2015-07-29,2024-12-31,"£42,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation reflects estimated costs based on the loss of 1 x Merlin Mk2 and 3 aircrew. There has been no crystallisation of this indemnity and the contract expires within the next 18 months so exposure considered extremely low.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",9.43,1.75, £-   ," £286,000.00 "," £571,000.00 "," £210,000.00 "
